key,code,title,crn,no,total,schd,stat,isCancelled,meets,mpkey,instr,srcdb
298,ART 130,Painting Basics,13405,02,2,N,A,,MW 10:30a-12:20p,2166,M. Zuckerman-Hartung,201803
299,ART 132,Introduction to Graphic Design,10540,01,1,N,A,,TTh 10:30a-12:20p,2165,H. Van Assen,201803
300,ART 136,LightwithBlack&WhitePhtgrphy: BW Photography Capturing Light,10541,01,1,N,A,,WF 10:30a-12:20p,2167,L. Kereszi,201803
301,ART 138,Seeing in Color With Digital Photography,10542,01,2,N,A,,MW 3:30-5:20p,2101,T. Partin,201803
302,ART 138,Seeing in Color With Digital Photography,10543,02,2,N,A,,TTh 10:30a-12:20p,2165,Staff,201803
303,ART 142,Introductory Documentary Filmmaking,10544,01,1,N,A,,M 1:30-5:20p,3523,S. Luckow,201803
304,ART 145,Introduction to Digital Video,10546,01,1,N,A,,M 1:30-5:20p,3523,J. Berry,201803
305,ART 185,Principles of Animation,10547,01,1,N,C,1,HTBA,1,Staff,201803
306,ART 223,Figure Drawing,10548,01,1,N,A,,TTh 10:30a-12:20p,2165,Staff,201803
307,ART 237,Visual Voice in Analog Photography,10549,01,1,N,A,,WF 1:30-3:20p,2173,L. Kereszi,201803
308,ART 264,"Typography: Shape, Hierarchy, and Organization",10550,01,1,N,A,,MW 1:30-3:20p,2119,A. Chung,201803
309,ART 332,Painting Time,10551,01,1,N,A,,T 3:30-7:20p; Th 3:30-5:20p,5407,S. Messer,201803
310,ART 342,Intermediate Documentary Filmmaking,10553,01,1,N,A,,T 1:30-5:20p,2187,S. Luckow,201803
311,ART 346,Dematerial/Material,10555,01,1,N,A,,TTh 10:30a-12:20p,2165,E. Tubergen,201803
312,ART 356,Printmaking I,10556,01,1,N,A,,TTh 3:30-5:20p,2163,A. Valentine,201803
313,ART 368,Graphic Design Methodologies,10557,01,1,N,A,,F 1:30-5:20p,2282,P. Hovland,201803
314,ART 370,"Communicating with Time, Motion, and Sound",10558,01,1,N,A,,Th 1:30-5:20p,2285,C. Pullman,201803
315,ART 386,Experimental Writing and Performance,11892,01,1,L,A,,T 1:30-3:20p,2067,Coates/Morrison,201803
316,ART 395,Junior Seminar,10559,01,1,L,A,,W 7-8:50p,2150,J. Weinberg,201803
317,ART 401,Advanced Project in Photography,10560,01,1,N,A,,TTh 10:30a-12:20p,2165,A. Steiner,201803
318,ART 434,Drawing Studio: Art of the Graphic Novel,10561,01,1,N,C,1,HTBA,1,Staff,201803
319,ART 442,Advanced Film Writing and Directing,10562,01,1,N,A,,T 1:30-5:20p,2187,J. Andrews,201803
320,ART 450,Interiors as Cinema,10564,01,1,N,A,,Th 8:25a-12:20p,3522,C. McCorkle,201803
321,ART 468,Advanced Graphic Design: Series and Systems,10565,01,1,N,A,,T 1:30-5:20p,2187,J. Bittiner,201803
322,ART 471,Independent Projects,10566,01,1,F,A,,HTBA,1,Staff,201803
323,ART 495,Senior Project I,10567,01,1,Y,A,,T 7-8:50p,2071,H. Van Assen,201803
324,ASL 110,American Sign Language I,10424,01,2,H,A,,MTWThF 9:25-10:15a,2025,J. Tanner,201803
325,ASL 110,American Sign Language I,10425,02,2,H,A,,MTWThF 2:30-3:20p,3505,J. Tanner,201803
326,ASL 130,American Sign Language,13862,01,1,H,A,,MTWThF 10:30-11:20a,2024,J. Tanner,201803
327,ASTR 105,The Earth in its Cosmic Context,10568,01,1,H,A,,MW 11:35a-12:50p,2052,G. Laughlin,201803
328,ASTR 110,Planets and Stars,10569,01,1,H,A,,MW 1-2:15p,2030,R. Zinn,201803
329,ASTR 130,Origins and the Search for Life in the Universe,10570,01,1,H,A,,TTh 11:35a-12:50p,2021,D. Fischer,201803
330,ASTR 310,Galactic and Extragalactic Astronomy,10571,01,1,H,A,,MW 4-5:15p,2115,J. Kenney,201803
331,ASTR 356,Astrostatistics and Data Mining,10572,01,1,H,A,,TTh 1-2:15p,2035,H. Arce,201803
332,ASTR 420,Computational Methods for Astrophysics,10574,01,1,H,A,,MW 4-5:15p,2115,P. Coppi,201803
333,ASTR 450,Stellar Astrophysics,10575,01,1,H,A,,TTh 9-10:15a,2033,S. Basu,201803
334,ASTR 471,Independent Project in Astronomy,10576,01,1,F,A,,HTBA,1,G. Laughlin,201803
335,ASTR 490,The Two-Term Senior Project,10577,01,1,Y,A,,HTBA,1,G. Laughlin,201803
336,ASTR 492,The One-Term Senior Project,10578,01,1,Y,A,,HTBA,1,G. Laughlin,201803
347,BENG 205,Discovery and Design in Biomedical Research,10591,01,1,H,A,,TTh 9-10:15a,2033,J. Humphrey,201803
348,BENG 280,Sophomore Seminar in Biomedical Engineering,10592,01,1,L,A,,MW 11:35a-12:50p,2052,K. Miller-Jensen,201803
349,BENG 350,Physiological Systems,10593,01,1,H,A,,MWF 9:25-10:15a,2026,Saltzman/Campbell,201803
350,BENG 353,Introduction to Biomechanics,10599,01,1,H,A,,TTh 9-10:15a,2033,M. Murrell,201803
351,BENG 355L,Physiological Systems Laboratory,10600,01,1,G,A,,MF 1-5p,5427,R. Fan,201803
352,BENG 404,Medical Device Design and Innovation,11780,01,1,H,A,,MW 2:30-3:45p,2031,J. Zinter,201803
353,BENG 410,Physical and Chemical Basis of Bioimaging and Biosensing,10601,01,1,H,A,,MW 1-2:15p,2030,D. Rothman,201803
354,BENG 434,Biomaterials,10602,01,1,H,A,,MW 1-2:15p,2030,A. Gonzalez,201803
355,BENG 444,Fundamentals of Medical Imaging,12551,01,1,H,A,,TTh 11:35a-12:50p,2021,Team,201803
356,BENG 445,Biomedical Image Processing and Analysis,10603,01,1,H,C,1,HTBA,1,Staff,201803
357,BENG 459,Neuromuscular Biomechanics,11782,01,1,H,A,,TTh 2:30-3:45p,2020,M. Venkadesan,201803
358,BENG 463,Immunoengineering,10606,01,1,H,A,,TTh 1-2:15p,2035,T. Fahmy,201803
359,BENG 467,Systems Biology of Cell Signaling,10609,01,1,H,C,1,HTBA,1,Staff,201803
360,BENG 471,Special Projects,10610,01,1,F,A,,HTBA,1,J. Duncan,201803
361,BENG 473,Senior Project,10611,01,1,Y,A,,HTBA,1,J. Duncan,201803
362,BENG 475,Computational Vision and Biological Perception,10701,01,1,H,A,,MW 2:30-3:45p,2031,S. Zucker,201803
363,BENG 480,Seminar in Biomedical Engineering,10612,01,1,L,A,,MW 11:35a-12:50p,2052,A. Levchenko,201803
364,BIOL 101,Biochemistry and Biophysics,13162,01,1,H,A,,MW 11:35a-12:50p,2052,Park/Koelle,201803
365,BIOL 102,Principles of Cell Biology and Membrane Physiology,10589,01,1,H,A,,MW 11:35a-12:50p,2052,Park/Horsley,201803
366,BIOL 103,Genetics and Development,10590,01,1,H,A,,MW 11:35a-12:50p,2052,Lin/Irish,201803
367,BIOL 104,Principles of Ecology and Evolutionary Biology,13210,01,1,H,A,,MW 11:35a-12:50p,2052,Lin/Near,201803
398,CENG 300,Chemical Engineering Thermodynamics,10620,01,1,H,A,,MW 1-2:15p,2030,S. Hu,201803
399,CENG 320,Immunoengineering,10607,01,1,H,A,,TTh 1-2:15p,2035,T. Fahmy,201803
400,CENG 373,Air Pollution Control,11012,01,1,H,A,,MW 2:30-3:45p,2031,D. Gentner,201803
401,CENG 377,Water Quality Control,11014,01,1,L,A,,TTh 2:30-3:45p,2020,J. Kim,201803
402,CENG 411,Separation and Purification Processes,10621,01,1,H,A,,MW 1-2:15p,2030,P. Van Tassel,201803
403,CENG 471,Independent Research,10622,01,1,F,A,,HTBA,1,M. Loewenberg,201803
404,CENG 480,Chemical Engineering Process Control,10623,01,1,H,A,,TTh 9-10:15a,2033,E. Altman,201803
405,CENG 490,Senior Research Project,10624,01,1,Y,A,,HTBA,1,M. Loewenberg,201803
406,CGSC 110,Introduction to Cognitive Science,10665,01,1,H,A,,TTh 2:30-3:45p,2020,B. Scholl,201803
407,CGSC 139,The Mental Lives of Babies and Animals,11479,01,1,H,A,,MW 11:35a-12:50p,2052,K. Wynn,201803
408,CGSC 282,Perspectives on Human Nature,11567,01,1,H,A,,TTh 1:30-2:20p,2089,J. Knobe,201803
409,CGSC 315,The Modern Unconscious,11494,01,1,H,A,,MW 11:35a-12:50p,2052,J. Bargh,201803
410,CGSC 352,Arrested or Adaptive Development in the Adolescent Brain,11503,01,1,H,A,,TTh 9-10:15a,2033,B. Casey,201803
411,CGSC 390,Junior Seminar in Cognitive Science,10667,01,1,L,A,,Th 9:25-11:15a,2091,M. Sheskin,201803
412,CGSC 421,Cognitive Science of Pleasure,11512,01,1,L,A,,M 1:30-3:20p,2058,P. Bloom,201803
413,CGSC 471,Directed Research in Cognitive Science,10668,01,1,F,A,,HTBA,1,J. Knobe,201803
414,CGSC 473,Directed Reading in Cognitive Science,10669,01,1,F,A,,HTBA,1,J. Knobe,201803
415,CHEM 134L,General Chemistry Laboratory I,10625,01,1,G,A,,HTBA,1,N. Ganapathi,201803
416,CHEM 136L,General Chemistry Laboratory II,10626,01,1,G,A,,HTBA,1,N. Ganapathi,201803
417,CHEM 161,General Chemistry I,10627,01,1,H,A,,MWF 10:30-11:20a,2027,P. Holland,201803
418,CHEM 163,Comprehensive University Chemistry I,10628,01,1,H,A,,MWF 10:30-11:20a,2027,J. Mayer,201803
419,CHEM 174,Organic Chemistry for First-Year Students I,10629,01,1,H,A,,MWF 10:30-11:20a,2027,S. Miller,201803
420,CHEM 220,Organic Chemistry,10630,01,1,H,A,,MWF 9:25-10:15a,2026,J. Ellman,201803
421,CHEM 221,The Organic Chemistry of Life Processes,10631,01,1,H,A,,MW 9-10:15a,2038,D. Spiegel,201803
422,CHEM 222L,Laboratory for Organic Chemistry I,10632,01,1,G,A,,HTBA,1,C. DiMeglio,201803
423,CHEM 223L,Laboratory for Organic Chemistry II,10633,01,1,G,A,,HTBA,1,C. DiMeglio,201803
424,CHEM 226L,Intensive Advanced Chemistry Laboratory,10634,01,1,G,A,,TTh 1-5p,2073,J. Parr,201803
425,CHEM 328,Physical Chemistry with Applications in the Biological Sciences,10635,01,1,H,A,,MWF 9:25-10:15a,2026,Z. Ganim,201803
426,CHEM 330L,Laboratory for Physical Chemistry I,10636,01,1,G,A,,F 1:30-2:20p,2056,P. Vaccaro,201803
427,CHEM 332,Physical Chemistry with Applications in the Physical Sciences I,10637,01,1,H,A,,MWF 9:25-10:15a,2026,C. Schmuttenmaer,201803
428,CHEM 400,Current Chemistry Seminar,10638,01,1,L,A,,W 2:30-4:30p,2151,J. Parr,201803
429,CHEM 418,Advanced Organic Chemistry I,10639,01,1,H,A,,TTh 11:35a-12:50p,2021,W. Jorgensen,201803
